Trait_code	Trait_name	Domain	ChapterLevel	SubchapterLevel	OriginalFileName	EvonneFileName
4120_irnt	Heel broadband ultrasound attenuation (right)	Skeletal	Structures Related to Movement	Structures related to movement, unspecified	4120_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Heel_broadband_ultrasound_attenuation_right.4120_irnt.bgz
4123_irnt	Heel quantitative ultrasound index (QUI), direct entry (right)	Skeletal	Structures Related to Movement	Structures related to movement, unspecified	4123_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Heel_quantitative_ultrasound_index_QUI,_direct_entry_right.4123_irnt.bgz
41231_1	Hospital episode type: General episode	Activities	Self-Care	Looking After One's Health	41231_1.ldsc.imputed_v3.both_sexes.tsv.bgz	Hospital_episode_type:_General_episode.41231_1.bgz
41235	Spells in hospital	Mortality	Mortality	All-Cause Mortality	41235.ldsc.imputed_v3.both_sexes.tsv.bgz	Spells_in_hospital.41235.bgz
4124_irnt	Heel bone mineral density (BMD) (right)	Skeletal	Structures Related to Movement	Structures related to movement, unspecified	4124_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Heel_bone_mineral_density_BMD_right.4124_irnt.bgz
41248_1000	Destinations on discharge from hospital (recoded): Usual Place of residence	Activities	Domestic Life	Acquisition of Necessities	41248_1000.imputed_v3.ldsc.both_sexes.v2.tsv.bgz	Destinations_on_discharge_from_hospital_recoded:_Usual_Place_of_residence.41248_1000.bgz
4125_irnt	Heel bone mineral density (BMD) T-score, automated (right)	Skeletal	Structures Related to Movement	Structures related to movement, unspecified	4125_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Heel_bone_mineral_density_BMD_T-score,_automated_right.4125_irnt.bgz
4194_irnt	Pulse rate	Cardiovascular	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Heart Functions	4194_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Pulse_rate.4194_irnt.bgz
4195_irnt	Pulse wave reflection index	Cardiovascular	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Heart Functions	4195_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Pulse_wave_reflection_index.4195_irnt.bgz
4290_irnt	Duration screen displayed	Cognitive	Mental Functions	Memory Functions	4290_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Duration_screen_displayed.4290_irnt.bgz
4526	Happiness	Psychiatric	Mental Functions	Temperament and Personality Functions	4526.ldsc.imputed_v3.both_sexes.tsv.bgz	Happiness.4526.bgz
4548	Health satisfaction	Activities	Self-Care	Looking After One's Health	4548.ldsc.imputed_v3.both_sexes.tsv.bgz	Health_satisfaction.4548.bgz
4559	Family relationship satisfaction	Social Interactions	Interpersonal Interactions and Relationships	Family Relationships	4559.ldsc.imputed_v3.both_sexes.tsv.bgz	Family_relationship_satisfaction.4559.bgz
4570	Friendships satisfaction	Social Interactions	Interpersonal Interactions and Relationships	Informal Social Relationships	4570.ldsc.imputed_v3.both_sexes.tsv.bgz	Friendships_satisfaction.4570.bgz
4581	Financial situation satisfaction	Activities	Self-Care	Looking After One's Health	4581.ldsc.imputed_v3.both_sexes.tsv.bgz	Financial_situation_satisfaction.4581.bgz
4598	Ever depressed for a whole week	Psychiatric	Mental and Behavioural Disorders	Depressive Episode	4598.ldsc.imputed_v3.both_sexes.tsv.bgz	Ever_depressed_for_a_whole_week.4598.bgz
46_irnt	Hand grip strength (left)	Muscular	Neuromusculoskeletal and Movement-Related Functions	Muscle Power Functions	46_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Hand_grip_strength_left.46_irnt.bgz
47_irnt	Hand grip strength (right)	Muscular	Neuromusculoskeletal and Movement-Related Functions	Muscle Power Functions	47_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Hand_grip_strength_right.47_irnt.bgz
4728	Leg pain on walking	Muscular	Neuromusculoskeletal and Movement-Related Functions	Control of Voluntary Movement Functions	4728.ldsc.imputed_v3.both_sexes.tsv.bgz	Leg_pain_on_walking.4728.bgz
48_irnt	Waist circumference	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	48_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Waist_circumference.48_irnt.bgz
4803_0	Tinnitus: No, never	Ear, Nose, Throat	Sensory Functions and Pain	Hearing Functions	4803_0.ldsc.imputed_v3.both_sexes.tsv.bgz	Tinnitus:_No,_never.4803_0.bgz
49_irnt	Hip circumference	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	49_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Hip_circumference.49_irnt.bgz
4957	FI3 : word interpolation	Cognitive	Mental Functions	Higher-Level Cognitive Functions	4957.ldsc.imputed_v3.both_sexes.tsv.bgz	FI3_:_word_interpolation.4957.bgz
4968	FI4 : positional arithmetic	Cognitive	Mental Functions	Higher-Level Cognitive Functions	4968.ldsc.imputed_v3.both_sexes.tsv.bgz	FI4_:_positional_arithmetic.4968.bgz
4990	FI6 : conditional arithmetic	Cognitive	Mental Functions	Higher-Level Cognitive Functions	4990.ldsc.imputed_v3.both_sexes.tsv.bgz	FI6_:_conditional_arithmetic.4990.bgz
50_irnt	Standing height	Skeletal	Structures Related to Movement	Height	50_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Standing_height.50_irnt.bgz
5012	FI8 : chained arithmetic	Cognitive	Mental Functions	Higher-Level Cognitive Functions	5012.ldsc.imputed_v3.both_sexes.tsv.bgz	FI8_:_chained_arithmetic.5012.bgz
5084_irnt	Spherical power (right)	Ophthalmological	The Eye, Ear and Related Structures	Structure of Eyeball	5084_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Spherical_power_right.5084_irnt.bgz
5085_irnt	Spherical power (left)	Ophthalmological	The Eye, Ear and Related Structures	Structure of Eyeball	5085_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Spherical_power_left.5085_irnt.bgz
5096_irnt	3mm weak meridian (left)	Ophthalmological	The Eye, Ear and Related Structures	Structure of Eyeball	5096_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	3mm_weak_meridian_left.5096_irnt.bgz
5097_irnt	6mm weak meridian (left)	Ophthalmological	The Eye, Ear and Related Structures	Structure of Eyeball	5097_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	6mm_weak_meridian_left.5097_irnt.bgz
5098_irnt	6mm weak meridian (right)	Ophthalmological	The Eye, Ear and Related Structures	Structure of Eyeball	5098_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	6mm_weak_meridian_right.5098_irnt.bgz
5099_irnt	3mm weak meridian (right)	Ophthalmological	The Eye, Ear and Related Structures	Structure of Eyeball	5099_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	3mm_weak_meridian_right.5099_irnt.bgz
5104_irnt	3mm strong meridian angle (left)	Ophthalmological	The Eye, Ear and Related Structures	Structure of Eyeball	5104_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	3mm_strong_meridian_angle_left.5104_irnt.bgz
5116_irnt	3mm cylindrical power (right)	Ophthalmological	The Eye, Ear and Related Structures	Structure of Eyeball	5116_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	3mm_cylindrical_power_right.5116_irnt.bgz
5119_irnt	3mm cylindrical power (left)	Ophthalmological	The Eye, Ear and Related Structures	Structure of Eyeball	5119_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	3mm_cylindrical_power_left.5119_irnt.bgz
5132_irnt	3mm strong meridian (right)	Ophthalmological	The Eye, Ear and Related Structures	Structure of Eyeball	5132_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	3mm_strong_meridian_right.5132_irnt.bgz
5133_irnt	6mm strong meridian (right)	Ophthalmological	The Eye, Ear and Related Structures	Structure of Eyeball	5133_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	6mm_strong_meridian_right.5133_irnt.bgz
5134_irnt	6mm strong meridian (left)	Ophthalmological	The Eye, Ear and Related Structures	Structure of Eyeball	5134_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	6mm_strong_meridian_left.5134_irnt.bgz
5135_irnt	3mm strong meridian (left)	Ophthalmological	The Eye, Ear and Related Structures	Structure of Eyeball	5135_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	3mm_strong_meridian_left.5135_irnt.bgz
5254_irnt	Intra-ocular pressure, corneal-compensated (right)	Ophthalmological	The Eye, Ear and Related Structures	Structure of Eyeball	5254_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Intra-ocular_pressure,_corneal-compensated_right.5254_irnt.bgz
5255_irnt	Intra-ocular pressure, Goldmann-correlated (right)	Ophthalmological	The Eye, Ear and Related Structures	Structure of Eyeball	5255_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Intra-ocular_pressure,_Goldmann-correlated_right.5255_irnt.bgz
5256_irnt	Corneal hysteresis (right)	Ophthalmological	The Eye, Ear and Related Structures	Structure of Eyeball	5256_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Corneal_hysteresis_right.5256_irnt.bgz
5257_irnt	Corneal resistance factor (right)	Ophthalmological	The Eye, Ear and Related Structures	Structure of Eyeball	5257_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Corneal_resistance_factor_right.5257_irnt.bgz
5262_irnt	Intra-ocular pressure, corneal-compensated (left)	Ophthalmological	The Eye, Ear and Related Structures	Structure of Eyeball	5262_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Intra-ocular_pressure,_corneal-compensated_left.5262_irnt.bgz
5263_irnt	Intra-ocular pressure, Goldmann-correlated (left)	Ophthalmological	The Eye, Ear and Related Structures	Structure of Eyeball	5263_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Intra-ocular_pressure,_Goldmann-correlated_left.5263_irnt.bgz
5264_irnt	Corneal hysteresis (left)	Ophthalmological	The Eye, Ear and Related Structures	Structure of Eyeball	5264_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Corneal_hysteresis_left.5264_irnt.bgz
5265_irnt	Corneal resistance factor (left)	Ophthalmological	The Eye, Ear and Related Structures	Structure of Eyeball	5265_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Corneal_resistance_factor_left.5265_irnt.bgz
6138_1	Qualifications: College or University degree	Environment	Major Life Areas	Education	6138_1.ldsc.imputed_v3.both_sexes.tsv.bgz	Qualifications:_College_or_University_degree.6138_1.bgz
6138_100	Qualifications: None of the above	Environment	Major Life Areas	Education	6138_100.ldsc.imputed_v3.both_sexes.tsv.bgz	Qualifications:_None_of_the_above.6138_100.bgz
6138_2	Qualifications: A levels/AS levels or equivalent	Environment	Major Life Areas	Education	6138_2.ldsc.imputed_v3.both_sexes.tsv.bgz	Qualifications:_A_levelsAS_levels_or_equivalent.6138_2.bgz
6138_3	Qualifications: O levels/GCSEs or equivalent	Environment	Major Life Areas	Education	6138_3.ldsc.imputed_v3.both_sexes.tsv.bgz	Qualifications:_O_levelsGCSEs_or_equivalent.6138_3.bgz
6138_5	Qualifications: NVQ or HND or HNC or equivalent	Environment	Major Life Areas	Education	6138_5.ldsc.imputed_v3.both_sexes.tsv.bgz	Qualifications:_NVQ_or_HND_or_HNC_or_equivalent.6138_5.bgz
6138_6	Qualifications: Other professional qualifications eg: nursing, teaching	Environment	Major Life Areas	Education	6138_6.ldsc.imputed_v3.both_sexes.tsv.bgz	Qualifications:_Other_professional_qualifications_eg:_nursing,_teaching.6138_6.bgz
6139_3	Gas or solid-fuel cooking/heating: An open solid fuel fire that you use regularly in winter time	Activities	Domestic Life	Acquisition of Necessities	6139_3.ldsc.imputed_v3.both_sexes.tsv.bgz	Gas_or_solid-fuel_cookingheating:_An_open_solid_fuel_fire_that_you_use_regularly_in_winter_time.6139_3.bgz
6141_1	How are people in household related to participant: Husband, wife or partner	Social Interactions	Interpersonal Interactions and Relationships	Family Relationships	6141_1.imputed_v3.ldsc.both_sexes.v2.tsv.bgz	How_are_people_in_household_related_to_participant:_Husband,_wife_or_partner.6141_1.bgz
6142_4	Current employment status: Unable to work because of sickness or disability	Environment	Major Life Areas	Work and Employment	6142_4.ldsc.imputed_v3.both_sexes.tsv.bgz	Current_employment_status:_Unable_to_work_because_of_sickness_or_disability.6142_4.bgz
6144_4	Never eat eggs, dairy, wheat, sugar: Sugar or foods/drinks containing sugar	Nutritional	Self-Care	Food	6144_4.ldsc.imputed_v3.both_sexes.tsv.bgz	Never_eat_eggs,_dairy,_wheat,_sugar:_Sugar_or_foodsdrinks_containing_sugar.6144_4.bgz
6144_5	Never eat eggs, dairy, wheat, sugar: I eat all of the above	Nutritional	Self-Care	Food	6144_5.ldsc.imputed_v3.both_sexes.tsv.bgz	Never_eat_eggs,_dairy,_wheat,_sugar:_I_eat_all_of_the_above.6144_5.bgz
6145_1	Illness, injury, bereavement, stress in last 2 years: Serious illness, injury or assault to yourself	Environment	Factors Influencing Health Status and Contact with Health Services	Persons with Potential Health Hazards Related to Socioeconomic and Psychosocial Circumstances	6145_1.ldsc.imputed_v3.both_sexes.tsv.bgz	Illness,_injury,_bereavement,_stress_in_last_2_years:_Serious_illness,_injury_or_assault_to_yourself.6145_1.bgz
6145_100	Illness, injury, bereavement, stress in last 2 years: None of the above	Environment	Factors Influencing Health Status and Contact with Health Services	Persons with Potential Health Hazards Related to Socioeconomic and Psychosocial Circumstances	6145_100.ldsc.imputed_v3.both_sexes.tsv.bgz	Illness,_injury,_bereavement,_stress_in_last_2_years:_None_of_the_above.6145_100.bgz
6145_6	Illness, injury, bereavement, stress in last 2 years: Financial difficulties	Environment	Factors Influencing Health Status and Contact with Health Services	Persons with Potential Health Hazards Related to Socioeconomic and Psychosocial Circumstances	6145_6.ldsc.imputed_v3.both_sexes.tsv.bgz	Illness,_injury,_bereavement,_stress_in_last_2_years:_Financial_difficulties.6145_6.bgz
6146_100	Attendance/disability/mobility allowance: None of the above	Environment	Factors Influencing Health Status and Contact with Health Services	Persons with Potential Health Hazards Related to Socioeconomic and Psychosocial Circumstances	6146_100.ldsc.imputed_v3.both_sexes.tsv.bgz	Attendancedisabilitymobility_allowance:_None_of_the_above.6146_100.bgz
6146_2	Attendance/disability/mobility allowance: Disability living allowance	Environment	Factors Influencing Health Status and Contact with Health Services	Persons with Potential Health Hazards Related to Socioeconomic and Psychosocial Circumstances	6146_2.ldsc.imputed_v3.both_sexes.tsv.bgz	Attendancedisabilitymobility_allowance:_Disability_living_allowance.6146_2.bgz
6146_3	Attendance/disability/mobility allowance: Blue badge	Environment	Factors Influencing Health Status and Contact with Health Services	Persons with Potential Health Hazards Related to Socioeconomic and Psychosocial Circumstances	6146_3.ldsc.imputed_v3.both_sexes.tsv.bgz	Attendancedisabilitymobility_allowance:_Blue_badge.6146_3.bgz
6147_1	Reason for glasses/contact lenses: For short-sightedness, i.e. only or mainly for distance viewing such as driving, cinema etc (called 'myopia')	Activities	Self-Care	Looking After One's Health	6147_1.imputed_v3.ldsc.both_sexes.v2.tsv.bgz	Reason_for_glassescontact_lenses:_For_short-sightedness,_i.e._only_or_mainly_for_distance_viewing_such_as_driving,_cinema_etc_called_myopia.6147_1.bgz
6149_1	Mouth/teeth dental problems: Mouth ulcers	Body Structures	Structure Involved in Voice and Speech	Structure of Mouth	6149_1.ldsc.imputed_v3.both_sexes.tsv.bgz	Mouthteeth_dental_problems:_Mouth_ulcers.6149_1.bgz
6149_100	Mouth/teeth dental problems: None of the above	Body Structures	Structure Involved in Voice and Speech	Structure of Mouth	6149_100.ldsc.imputed_v3.both_sexes.tsv.bgz	Mouthteeth_dental_problems:_None_of_the_above.6149_100.bgz
6149_3	Mouth/teeth dental problems: Bleeding gums	Body Structures	Structure Involved in Voice and Speech	Structure of Mouth	6149_3.ldsc.imputed_v3.both_sexes.tsv.bgz	Mouthteeth_dental_problems:_Bleeding_gums.6149_3.bgz
6149_6	Mouth/teeth dental problems: Dentures	Body Structures	Structure Involved in Voice and Speech	Structure of Mouth	6149_6.ldsc.imputed_v3.both_sexes.tsv.bgz	Mouthteeth_dental_problems:_Dentures.6149_6.bgz
6150_100	Vascular/heart problems diagnosed by doctor: None of the above	Cardiovascular	Diseases of the Circulatory System		6150_100.ldsc.imputed_v3.both_sexes.tsv.bgz	Vascularheart_problems_diagnosed_by_doctor:_None_of_the_above.6150_100.bgz
6150_2	Vascular/heart problems diagnosed by doctor: Angina	Cardiovascular	Diseases of the Circulatory System	Angina Pectoris	6150_2.ldsc.imputed_v3.both_sexes.tsv.bgz	Vascularheart_problems_diagnosed_by_doctor:_Angina.6150_2.bgz
6150_4	Vascular/heart problems diagnosed by doctor: High blood pressure	Cardiovascular	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Blood Pressure Functions	6150_4.ldsc.imputed_v3.both_sexes.tsv.bgz	Vascularheart_problems_diagnosed_by_doctor:_High_blood_pressure.6150_4.bgz
6152_100	Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: None of the above	Respiratory	Diseases of the Respiratory System	Asthma	6152_100.ldsc.imputed_v3.both_sexes.tsv.bgz	Blood_clot,_DVT,_bronchitis,_emphysema,_asthma,_rhinitis,_eczema,_allergy_diagnosed_by_doctor:_None_of_the_above.6152_100.bgz
6152_8	Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Asthma	Respiratory	Diseases of the Respiratory System	Asthma	6152_8.ldsc.imputed_v3.both_sexes.tsv.bgz	Blood_clot,_DVT,_bronchitis,_emphysema,_asthma,_rhinitis,_eczema,_allergy_diagnosed_by_doctor:_Asthma.6152_8.bgz
6152_9	Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Hayfever, allergic rhinitis or eczema	Respiratory	Disease of the Respiratory System	Vasomotor and Allergic Rhinitis	6152_9.ldsc.imputed_v3.both_sexes.tsv.bgz	Blood_clot,_DVT,_bronchitis,_emphysema,_asthma,_rhinitis,_eczema,_allergy_diagnosed_by_doctor:_Hayfever,_allergic_rhinitis_or_eczema.6152_9.bgz
6153_1	Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Cholesterol lowering medication	Activities	Self-Care	Looking After One's Health	6153_1.ldsc.imputed_v3.female.tsv.bgz	Medication_for_cholesterol,_blood_pressure,_diabetes,_or_take_exogenous_hormones:_Cholesterol_lowering_medication.6153_1.bgz
6153_100	Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: None of the above	Activities	Self-Care	Looking After One's Health	6153_100.ldsc.imputed_v3.female.tsv.bgz	Medication_for_cholesterol,_blood_pressure,_diabetes,_or_take_exogenous_hormones:_None_of_the_above.6153_100.bgz
6153_2	Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Blood pressure medication	Activities	Self-Care	Looking After One's Health	6153_2.ldsc.imputed_v3.female.tsv.bgz	Medication_for_cholesterol,_blood_pressure,_diabetes,_or_take_exogenous_hormones:_Blood_pressure_medication.6153_2.bgz
6154_1	Medication for pain relief, constipation, heartburn: Aspirin	Activities	Self-Care	Looking After One's Health	6154_1.ldsc.imputed_v3.both_sexes.tsv.bgz	Medication_for_pain_relief,_constipation,_heartburn:_Aspirin.6154_1.bgz
6154_100	Medication for pain relief, constipation, heartburn: None of the above	Activities	Self-Care	Looking After One's Health	6154_100.ldsc.imputed_v3.both_sexes.tsv.bgz	Medication_for_pain_relief,_constipation,_heartburn:_None_of_the_above.6154_100.bgz
6154_2	Medication for pain relief, constipation, heartburn: Ibuprofen (e.g. Nurofen)	Activities	Self-Care	Looking After One's Health	6154_2.ldsc.imputed_v3.both_sexes.tsv.bgz	Medication_for_pain_relief,_constipation,_heartburn:_Ibuprofen_e.g._Nurofen.6154_2.bgz
6154_3	Medication for pain relief, constipation, heartburn: Paracetamol	Activities	Self-Care	Looking After One's Health	6154_3.ldsc.imputed_v3.both_sexes.tsv.bgz	Medication_for_pain_relief,_constipation,_heartburn:_Paracetamol.6154_3.bgz
6154_5	Medication for pain relief, constipation, heartburn: Omeprazole (e.g. Zanprol)	Activities	Self-Care	Looking After One's Health	6154_5.ldsc.imputed_v3.both_sexes.tsv.bgz	Medication_for_pain_relief,_constipation,_heartburn:_Omeprazole_e.g._Zanprol.6154_5.bgz
6155_100	Vitamin and mineral supplements: None of the above	Activities	Self-Care	Looking After One's Health	6155_100.ldsc.imputed_v3.both_sexes.tsv.bgz	Vitamin_and_mineral_supplements:_None_of_the_above.6155_100.bgz
6155_7	Vitamin and mineral supplements: Multivitamins +/- minerals	Activities	Self-Care	Looking After One's Health	6155_7.ldsc.imputed_v3.both_sexes.tsv.bgz	Vitamin_and_mineral_supplements:_Multivitamins_+-_minerals.6155_7.bgz
6159_1	Pain type(s) experienced in last month: Headache	Neurological	Sensory Functions and Pain	Sensation of Pain	6159_1.ldsc.imputed_v3.both_sexes.tsv.bgz	Pain_types_experienced_in_last_month:_Headache.6159_1.bgz
6159_100	Pain type(s) experienced in last month: None of the above	Neurological	Sensory Functions and Pain	Sensation of Pain	6159_100.ldsc.imputed_v3.both_sexes.tsv.bgz	Pain_types_experienced_in_last_month:_None_of_the_above.6159_100.bgz
6159_3	Pain type(s) experienced in last month: Neck or shoulder pain	Neurological	Sensory Functions and Pain	Sensation of Pain	6159_3.ldsc.imputed_v3.both_sexes.tsv.bgz	Pain_types_experienced_in_last_month:_Neck_or_shoulder_pain.6159_3.bgz
6159_4	Pain type(s) experienced in last month: Back pain	Neurological	Sensory Functions and Pain	Sensation of Pain	6159_4.ldsc.imputed_v3.both_sexes.tsv.bgz	Pain_types_experienced_in_last_month:_Back_pain.6159_4.bgz
6159_5	Pain type(s) experienced in last month: Stomach or abdominal pain	Neurological	Sensory Functions and Pain	Sensation of Pain	6159_5.ldsc.imputed_v3.both_sexes.tsv.bgz	Pain_types_experienced_in_last_month:_Stomach_or_abdominal_pain.6159_5.bgz
6159_6	Pain type(s) experienced in last month: Hip pain	Neurological	Sensory Functions and Pain	Sensation of Pain	6159_6.ldsc.imputed_v3.both_sexes.tsv.bgz	Pain_types_experienced_in_last_month:_Hip_pain.6159_6.bgz
6159_7	Pain type(s) experienced in last month: Knee pain	Neurological	Sensory Functions and Pain	Sensation of Pain	6159_7.ldsc.imputed_v3.both_sexes.tsv.bgz	Pain_types_experienced_in_last_month:_Knee_pain.6159_7.bgz
6160_1	Leisure/social activities: Sports club or gym	Social Interactions	Interpersonal Interactions and Relationships	Informal Social Relationships	6160_1.ldsc.imputed_v3.both_sexes.tsv.bgz	Leisuresocial_activities:_Sports_club_or_gym.6160_1.bgz
6160_100	Leisure/social activities: None of the above	Social Interactions	Interpersonal Interactions and Relationships	Informal Social Relationships	6160_100.ldsc.imputed_v3.both_sexes.tsv.bgz	Leisuresocial_activities:_None_of_the_above.6160_100.bgz
6160_2	Leisure/social activities: Pub or social club	Social Interactions	Interpersonal Interactions and Relationships	Informal Social Relationships	6160_2.ldsc.imputed_v3.both_sexes.tsv.bgz	Leisuresocial_activities:_Pub_or_social_club.6160_2.bgz
6160_3	Leisure/social activities: Religious group	Social Interactions	Interpersonal Interactions and Relationships	Informal Social Relationships	6160_3.ldsc.imputed_v3.both_sexes.tsv.bgz	Leisuresocial_activities:_Religious_group.6160_3.bgz
6160_4	Leisure/social activities: Adult education class	Social Interactions	Interpersonal Interactions and Relationships	Informal Social Relationships	6160_4.ldsc.imputed_v3.both_sexes.tsv.bgz	Leisuresocial_activities:_Adult_education_class.6160_4.bgz
6160_5	Leisure/social activities: Other group activity	Social Interactions	Interpersonal Interactions and Relationships	Informal Social Relationships	6160_5.ldsc.imputed_v3.both_sexes.tsv.bgz	Leisuresocial_activities:_Other_group_activity.6160_5.bgz
6162_1	Types of transport used (excluding work): Car/motor vehicle	Activities	Mobility	Moving Around Using Transportation	6162_1.ldsc.imputed_v3.both_sexes.tsv.bgz	Types_of_transport_used_excluding_work:_Carmotor_vehicle.6162_1.bgz
6162_2	Types of transport used (excluding work): Walk	Activities	Mobility	Moving Around Using Transportation	6162_2.ldsc.imputed_v3.both_sexes.tsv.bgz	Types_of_transport_used_excluding_work:_Walk.6162_2.bgz
6162_3	Types of transport used (excluding work): Public transport	Activities	Mobility	Moving Around Using Transportation	6162_3.ldsc.imputed_v3.both_sexes.tsv.bgz	Types_of_transport_used_excluding_work:_Public_transport.6162_3.bgz
6162_4	Types of transport used (excluding work): Cycle	Activities	Mobility	Moving Around Using Transportation	6162_4.ldsc.imputed_v3.both_sexes.tsv.bgz	Types_of_transport_used_excluding_work:_Cycle.6162_4.bgz
6164_1	Types of physical activity in last 4 weeks: Walking for pleasure (not as a means of transport)	Activities	Self-Care	Looking After One's Health	6164_1.ldsc.imputed_v3.both_sexes.tsv.bgz	Types_of_physical_activity_in_last_4_weeks:_Walking_for_pleasure_not_as_a_means_of_transport.6164_1.bgz
6164_100	Types of physical activity in last 4 weeks: None of the above	Activities	Self-Care	Looking After One's Health	6164_100.ldsc.imputed_v3.both_sexes.tsv.bgz	Types_of_physical_activity_in_last_4_weeks:_None_of_the_above.6164_100.bgz
6164_2	Types of physical activity in last 4 weeks: Other exercises (eg: swimming, cycling, keep fit, bowling)	Activities	Self-Care	Looking After One's Health	6164_2.ldsc.imputed_v3.both_sexes.tsv.bgz	Types_of_physical_activity_in_last_4_weeks:_Other_exercises_eg:_swimming,_cycling,_keep_fit,_bowling.6164_2.bgz
6164_3	Types of physical activity in last 4 weeks: Strenuous sports	Activities	Self-Care	Looking After One's Health	6164_3.ldsc.imputed_v3.both_sexes.tsv.bgz	Types_of_physical_activity_in_last_4_weeks:_Strenuous_sports.6164_3.bgz
6164_4	Types of physical activity in last 4 weeks: Light DIY (eg: pruning, watering the lawn)	Activities	Self-Care	Looking After One's Health	6164_4.ldsc.imputed_v3.both_sexes.tsv.bgz	Types_of_physical_activity_in_last_4_weeks:_Light_DIY_eg:_pruning,_watering_the_lawn.6164_4.bgz
6164_5	Types of physical activity in last 4 weeks: Heavy DIY (eg: weeding, lawn mowing, carpentry, digging)	Activities	Self-Care	Looking After One's Health	6164_5.ldsc.imputed_v3.both_sexes.tsv.bgz	Types_of_physical_activity_in_last_4_weeks:_Heavy_DIY_eg:_weeding,_lawn_mowing,_carpentry,_digging.6164_5.bgz
6177_1	Medication for cholesterol, blood pressure or diabetes: Cholesterol lowering medication	Activities	Self-Care	Looking After One's Health	6177_1.ldsc.imputed_v3.male.tsv.bgz	Medication_for_cholesterol,_blood_pressure_or_diabetes:_Cholesterol_lowering_medication.6177_1.bgz
6177_100	Medication for cholesterol, blood pressure or diabetes: None of the above	Activities	Self-Care	Looking After One's Health	6177_100.ldsc.imputed_v3.male.tsv.bgz	Medication_for_cholesterol,_blood_pressure_or_diabetes:_None_of_the_above.6177_100.bgz
6177_2	Medication for cholesterol, blood pressure or diabetes: Blood pressure medication	Activities	Self-Care	Looking After One's Health	6177_2.ldsc.imputed_v3.male.tsv.bgz	Medication_for_cholesterol,_blood_pressure_or_diabetes:_Blood_pressure_medication.6177_2.bgz
6179_1	Mineral and other dietary supplements: Fish oil (including cod liver oil)	Activities	Self-Care	Looking After One's Health	6179_1.ldsc.imputed_v3.both_sexes.tsv.bgz	Mineral_and_other_dietary_supplements:_Fish_oil_including_cod_liver_oil.6179_1.bgz
6179_100	Mineral and other dietary supplements: None of the above	Activities	Self-Care	Looking After One's Health	6179_100.ldsc.imputed_v3.both_sexes.tsv.bgz	Mineral_and_other_dietary_supplements:_None_of_the_above.6179_100.bgz
6179_2	Mineral and other dietary supplements: Glucosamine	Activities	Self-Care	Looking After One's Health	6179_2.ldsc.imputed_v3.both_sexes.tsv.bgz	Mineral_and_other_dietary_supplements:_Glucosamine.6179_2.bgz
